sku_id,price,cate,para_1,para_2,para_3
1,364.2,71,247.95,-1,-1
2,36.7,46,6.4,-1,-1
3,953.3,71,178.92,-1,-1
4,110.6,83,6366.88,-1,-1
5,241.5,71,31.74,-1,-1
6,368.6,71,32.79,-1,-1
7,18568.9,71,73.0,-1,-1
8,246.9,101,222.01,3,5
9,886.5,71,49.95,-1,-1
10,522.1,101,82.89,3,2
11,255.6,101,81.53,2,4
12,398.9,71,71.8,-1,-1
13,117.2,101,56.43,2,3
14,1455.4,71,119.94,-1,-1
15,734.2,71,71.8,-1,-1
16,908.4,71,72.33,-1,-1
17,979.2,101,166.57,-1,4
18,145.8,71,15.74,-1,-1
19,1089.3,1,24.47,-1,-1
20,450.1,101,8.07,4,2
21,789.3,71,99.49,-1,-1
22,149.9,1,32.79,-1,-1
23,1148.5,1,79.6,-1,-1
24,1567.7,71,80.14,-1,-1
25,344.2,71,40.65,-1,-1
26,2046.5,71,98.54,-1,-1
27,387.1,101,82.44,2,-1
28,873.6,101,139.76,-1,7
29,336.6,101,125.42,2,5
30,1016.3,71,40.38,-1,-1
31,558.5,101,125.58,3,2
32,1472.6,101,304.03,4,-1
33,196.9,83,39.88,-1,-1
34,5470.4,71,82.68,-1,-1
35,5509.9,71,84.03,-1,-1
36,2351.0,71,81.82,-1,-1
37,1429.5,71,86.59,-1,-1
38,936.8,101,79.24,-1,-1
39,1231.5,71,40.85,-1,-1
40,209.9,101,80.9,2,3
41,163.8,101,23.61,-1,-1
42,726.4,71,72.49,-1,-1
43,131.5,83,18.15,-1,-1
44,20.0,30,131.93,-1,-1
45,729.6,101,122.73,-1,-1
46,392.0,101,112.48,3,3
47,107.6,83,15.95,-1,-1
48,426.5,71,81.72,-1,-1
49,1115.0,71,107.87,-1,-1
50,949.9,71,80.94,-1,-1
51,6992.7,71,72.57,-1,-1
52,190.8,30,40.68,-1,-1
53,260.2,71,80.24,-1,-1
54,446.8,71,39.68,-1,-1
55,639.9,1,31.6,-1,-1
56,384.1,101,39.87,2,4
57,380.3,1,24.85,-1,-1
58,404.6,101,79.63,2,-1
59,322.2,83,2.44,-1,-1
60,346.2,83,41.08,-1,-1
61,1064.9,71,48.26,-1,-1
62,1270.0,71,81.53,-1,-1
63,548.9,71,145.15,-1,-1
64,613.9,30,61.1,-1,-1
65,4463.1,71,78.72,-1,-1
66,153.2,46,123.76,-1,-1
67,773.0,101,233.35,2,2
68,597.0,101,323.01,4,2
69,703.0,71,103.13,-1,-1
70,695.6,101,196.93,3,4
71,793.3,71,71.22,-1,-1
72,551.1,71,49.0,-1,-1
73,1521.0,101,128.49,3,3
74,58.2,83,61.58,-1,-1
75,268.2,101,137.23,3,4
76,1496.7,71,95.3,-1,-1
77,1197.1,101,446.14,4,4
78,1505.8,71,82.19,-1,-1
79,117.8,71,79.51,-1,-1
80,772.3,101,40.25,6,2
81,9061.0,71,81.34,-1,-1
82,331.4,46,22.55,-1,-1
83,620.1,101,265.51,3,4
84,616.1,71,46.73,-1,-1
85,98.6,83,24.16,-1,-1
86,285.5,101,40.8,2,-1
87,411.6,101,128.63,-1,-1
88,441.4,30,80.02,-1,-1
89,883.0,71,39.78,-1,-1
90,213.3,83,12.25,-1,-1
91,286.8,30,57.5,-1,-1
92,534.7,101,235.8,3,5
93,378.2,83,17.74,-1,-1
94,3340.1,71,74.95,-1,-1
95,467.7,101,163.26,-1,-1
96,357.5,101,114.77,6,-1
97,922.1,71,72.2,-1,-1
98,544.5,101,173.19,3,-1
99,5202.8,71,81.48,-1,-1
100,138.9,101,49.39,-1,-1
101,4651.1,71,81.02,-1,-1
102,551.0,71,73.01,-1,-1
103,1575.5,71,83.81,-1,-1
104,1179.8,71,39.78,-1,-1
105,522.7,101,150.02,3,-1
106,39.7,83,14.64,-1,-1
107,404.4,1,9.51,-1,-1
108,291.8,1,24.79,-1,-1
109,1560.7,71,146.03,-1,-1
110,234.6,46,39.65,-1,-1
111,796.6,71,79.14,-1,-1
112,226.4,101,40.51,2,-1
113,103.7,46,24.67,-1,-1
114,650.8,101,61.75,2,4
115,291.2,101,57.38,2,-1
116,4855.3,71,86.88,-1,-1
117,747.4,71,32.44,-1,-1
118,2776.7,71,81.19,-1,-1
119,589.3,71,99.67,-1,-1
120,214.7,1,79.59,-1,-1
121,6595.7,71,563.36,-1,-1
122,393.0,101,146.84,2,-1
123,129.7,83,8.22,-1,-1
124,5718.7,71,80.0,-1,-1
125,622.0,101,245.62,4,5
126,694.8,71,164.73,-1,-1
127,388.6,71,822.7,-1,-1
128,148.8,1,18.09,-1,-1
129,415.7,46,398.29,-1,-1
130,600.0,71,79.73,-1,-1
131,2268.5,71,65.21,-1,-1
132,808.7,101,305.01,4,4
133,747.7,101,157.37,2,4
134,523.4,71,32.9,-1,-1
135,556.6,71,63.78,-1,-1
136,617.6,101,165.67,-1,-1
137,2569.5,71,364.86,-1,-1
138,1790.1,101,288.39,3,-1
139,1966.8,71,67.4,-1,-1
140,867.6,71,55.4,-1,-1
141,263.2,101,80.9,2,-1
142,252.7,101,101.27,3,4
143,883.4,71,66.49,-1,-1
144,258.5,30,116.02,-1,-1
145,127.2,1,18.48,-1,-1
146,322.0,101,79.8,3,2
147,324.0,30,159.66,-1,-1
148,771.9,71,82.73,-1,-1
149,2954.7,71,79.58,-1,-1
150,659.2,71,41.56,-1,-1
151,64.9,46,23.65,-1,-1
152,1446.2,30,145.92,-1,-1
153,808.9,101,49.05,2,5
154,994.8,71,79.54,-1,-1
155,6786.0,71,70.78,-1,-1
156,73.1,101,41.06,1,4
157,707.1,71,20.25,-1,-1
158,329.9,101,16.64,2,4
159,776.5,101,148.58,2,-1
160,261.6,101,135.77,3,-1
161,364.9,83,2.36,-1,-1
162,242.5,83,17.95,-1,-1
163,369.5,1,40.95,-1,-1
164,40.9,101,7.96,-1,4
165,138.8,71,88.52,-1,-1
166,528.2,101,139.7,3,2
167,1325.5,71,144.91,-1,-1
168,105.3,83,3.47,-1,-1
169,169.2,101,79.16,2,-1
170,442.0,30,64.72,-1,-1
171,359.5,1,25.01,-1,-1
172,192.3,30,82.09,-1,-1
173,1135.8,71,70.3,-1,-1
174,684.0,71,81.08,-1,-1
175,1500.7,71,33089.79,-1,-1
176,9071.2,71,81.78,-1,-1
177,1441.4,71,39.55,-1,-1
178,79.6,1,16.28,-1,-1
179,79.9,46,205.69,-1,-1
180,1167.4,71,63.02,-1,-1
181,112.2,101,18.03,-1,-1
182,1288.7,71,79.04,-1,-1
183,1710.9,71,94.34,-1,-1
184,176.0,1,39.37,-1,-1
185,2298.7,71,80.89,-1,-1
186,89.9,83,10.49,-1,-1
187,173.6,101,51.81,2,4
188,899.9,101,107.49,2,-1
189,1189.7,71,75.05,-1,-1
190,2502.2,71,64.03,-1,-1
191,495.8,71,80.41,-1,-1
192,373.2,101,24.08,3,4
193,4492.9,71,73.19,-1,-1
194,317.8,46,71.18,-1,-1
195,244.6,83,34.6,-1,-1
196,1075.5,71,74.12,-1,-1
197,831.1,71,77.91,-1,-1
198,183.0,1,22.99,-1,-1
199,445.5,30,263.73,-1,-1
200,1188.6,71,80.77,-1,-1
201,2292.4,71,73.76,-1,-1
202,350.1,71,40.12,-1,-1
203,122.7,83,11.92,-1,-1
204,1867.5,71,47.77,-1,-1
205,406.1,30,97.35,-1,-1
206,707.6,30,150.18,-1,-1
207,358.1,101,58.32,2,2
208,534.0,30,162.52,-1,-1
209,392.4,101,148.69,4,5
210,1297.0,71,63.92,-1,-1
211,93.4,46,95.73,-1,-1
212,797.5,101,337.52,6,2
213,808.0,71,63.86,-1,-1
214,778.2,71,64.95,-1,-1
215,932.1,71,81.54,-1,-1
216,510.8,101,746.82,-1,3
217,370.8,101,205.96,4,5
218,49.1,46,80.21,-1,-1
219,712.9,101,159.61,3,2
220,357.0,1,14.42,-1,-1
221,363.6,71,32.81,-1,-1
222,1537.0,71,85.33,-1,-1
223,671.7,71,78.73,-1,-1
224,85.0,101,7.98,1,-1
225,9034.3,71,477.15,-1,-1
226,275.1,101,55.95,2,2
227,119.2,46,103.02,-1,-1
228,157.4,1,18.61,-1,-1
229,817.6,71,62.59,-1,-1
230,7921.0,71,80.38,-1,-1
231,294.8,1,33.37,-1,-1
232,776.4,101,187.7,-1,-1
233,791.4,101,24.05,-1,5
234,422.4,30,338.63,-1,-1
235,203.4,101,159.04,2,4
236,779.5,101,323.98,5,4
237,635.6,101,190.76,3,4
238,2635.9,71,82.64,-1,-1
239,613.7,101,79.38,-1,4
240,6742.5,71,81.25,-1,-1
241,499.8,101,143.34,-1,-1
242,3700.7,71,81.03,-1,-1
243,158.9,1,23.61,-1,-1
244,2328.8,71,93.89,-1,-1
245,723.1,101,163.56,3,5
246,276.3,83,3.34,-1,-1
247,204.4,101,198.95,2,4
248,3814.4,71,8.12,-1,-1
249,1367.7,71,34.01,-1,-1
250,4245.6,71,67.55,-1,-1
251,549.7,101,166.28,2,-1
252,4902.5,71,83.26,-1,-1
253,1470.7,71,63.71,-1,-1
254,198.6,101,20.59,2,-1
255,1287.3,101,311.31,3,4
256,713.7,71,189.2,-1,-1
257,2577.2,71,219.17,-1,-1
258,6894.0,71,79.62,-1,-1
259,132.0,1,63.05,-1,-1
260,842.4,71,97.91,-1,-1
261,407.5,1,18.03,-1,-1
262,638.2,30,401.4,-1,-1
263,70.3,101,39.72,2,-1
264,122.1,101,248.74,2,-1
265,309.3,30,174.97,-1,-1
266,399.3,101,232.81,3,5
267,40.1,30,5.82,-1,-1
268,140.7,71,16.41,-1,-1
269,1823.0,101,162.27,3,4
270,7894.4,71,79.58,-1,-1
271,935.5,101,238.26,2,2
272,919.8,101,140.27,3,4
273,1187.9,71,57.67,-1,-1
274,7388.0,71,72.13,-1,-1
275,519.4,101,160.17,3,4
276,733.1,71,70.66,-1,-1
277,3106.6,71,86.66,-1,-1
278,810.9,101,165.64,3,4
279,319.4,101,0.83,-1,-1
280,3117.4,71,82.71,-1,-1
281,1003.0,71,61.83,-1,-1
282,2495.7,71,99.99,-1,-1
283,301.3,1,11.49,-1,-1
284,794.9,30,90.51,-1,-1
285,322.7,83,12.47,-1,-1
286,239.0,1,78.86,-1,-1
287,57.3,46,20.04,-1,-1
288,166.2,101,79.92,2,-1
289,140.6,1,24.13,-1,-1
290,288.6,101,24.71,1,4
291,43.2,101,47.53,2,-1
292,172.8,71,32.72,-1,-1
293,266.3,1,40.87,-1,-1
294,211.7,46,16.54,-1,-1
295,416.8,101,160.81,3,4
296,413.6,71,79.27,-1,-1
297,554.2,101,145.27,3,4
298,3251.0,71,40.39,-1,-1
299,141.8,101,65.27,-1,-1
300,3559.5,101,165.16,3,4
301,520.2,71,66.36,-1,-1
302,886.8,71,74.48,-1,-1
303,388.9,101,184.68,-1,-1
304,525.1,83,8.25,-1,-1
305,952.0,71,77.03,-1,-1
306,2187.9,71,31.52,-1,-1
307,435.1,71,79.31,-1,-1
308,200.7,101,39.5,3,5
309,649.3,30,249.06,-1,-1
310,769.5,71,66.67,-1,-1
311,547.9,71,98.46,-1,-1
312,344.5,71,31.45,-1,-1
313,61.2,46,35.37,-1,-1
314,946.2,46,708.83,-1,-1
315,1232.3,101,142.9,3,4
316,358.4,101,4.08,-1,-1
317,213.8,101,52.58,2,4
318,452.6,101,115.31,3,2
319,3717.1,71,49.48,-1,-1
320,1690.0,71,79.6,-1,-1
321,2312.2,101,164.93,-1,6
322,1191.7,71,63.52,-1,-1
323,86.5,46,16.57,-1,-1
324,1021.1,71,66.02,-1,-1
325,1625.6,71,71.09,-1,-1
326,198.0,101,16.33,2,4
327,1433.9,71,118.48,-1,-1
328,304.3,101,242.09,3,-1
329,670.7,71,81.15,-1,-1
330,220.8,101,147.39,3,4
331,550.6,71,41.51,-1,-1
332,28.9,46,0.81,-1,-1
333,1079.1,30,407.43,-1,-1
334,722.4,71,81.04,-1,-1
335,603.2,101,81.11,3,1
336,1549.6,71,65.87,-1,-1
337,111.3,46,15.86,-1,-1
338,434.9,101,151.4,3,3
339,2246.4,71,69.03,-1,-1
340,437.8,101,203.07,-1,4
341,849.0,101,315.2,3,-1
342,104.0,83,4.84,-1,-1
343,647.3,71,33.0,-1,-1
344,3416.6,71,31.79,-1,-1
345,1055.7,71,68.04,-1,-1
346,6472.3,71,620.39,-1,-1
347,90.8,83,10.53,-1,-1
348,97.2,83,9.77,-1,-1
349,6704.8,71,443.99,-1,-1
350,1104.3,71,62.97,-1,-1
351,304.7,101,63.68,2,4
352,716.5,101,161.19,3,4
353,509.0,101,384.32,3,4
354,1762.1,71,73.83,-1,-1
355,226.5,46,163.52,-1,-1
356,277.3,101,94.56,-1,-1
357,1002.9,71,31.98,-1,-1
358,723.2,71,78.69,-1,-1
359,162.2,1,24.41,-1,-1
360,656.2,101,31.62,-1,-1
361,1299.7,71,81.19,-1,-1
362,184.4,101,16.0,2,-1
363,5117.8,71,79.49,-1,-1
364,177.3,83,8.22,-1,-1
365,45.5,46,48.44,-1,-1
366,449.6,30,121.27,-1,-1
367,202.4,1,30.09,-1,-1
368,55.9,71,88.05,-1,-1
369,510.1,101,65.34,3,4
370,2502.1,71,31.77,-1,-1
371,250.7,101,41.37,3,4
372,538.6,101,164.1,3,5
373,1664.6,71,78.81,-1,-1
374,89.0,1,24.95,-1,-1
375,40.7,46,41.38,-1,-1
376,106.0,101,54.07,2,4
377,3896.5,71,66.31,-1,-1
378,460.0,30,79.45,-1,-1
379,1176.8,101,65.08,-1,-1
380,864.2,71,91.27,-1,-1
381,169.6,1,15.81,-1,-1
382,2771.5,101,115.66,5,3
383,242.4,83,28.78,-1,-1
384,128.0,83,16.22,-1,-1
385,1725.7,71,81.08,-1,-1
386,1115.0,71,92.13,-1,-1
387,319.0,101,48.57,3,2
388,172.9,101,47.41,2,4
389,12411.8,71,36.47,-1,-1
390,101.3,101,48.48,-1,3
391,510.0,101,79.9,-1,-1
392,3883.5,71,63.08,-1,-1
393,297.7,101,0.08,4,3
394,2467.7,71,32.69,-1,-1
395,1662.6,101,118.99,2,4
396,773.6,101,61.69,3,4
397,59.4,101,40.26,2,4
398,353.0,101,195.04,4,2
399,278.1,101,83.07,2,3
400,2065.8,71,64.03,-1,-1
401,549.3,71,89.14,-1,-1
402,1638.2,71,149.44,-1,-1
403,37.4,101,8.08,-1,-1
404,788.3,30,285.84,-1,-1
405,652.4,71,71.07,-1,-1
406,406.8,101,321.24,-1,4
407,203.0,1,18.43,-1,-1
408,522.7,101,416.91,3,4
409,30.0,46,62.9,-1,-1
410,1024.6,71,80.23,-1,-1
411,742.7,71,89.44,-1,-1
412,103.4,83,3.97,-1,-1
413,3723.2,71,73.29,-1,-1
414,1324.4,71,183.12,-1,-1
415,666.5,101,49.77,3,2
416,334.8,71,47.87,-1,-1
417,365.1,101,39.33,3,-1
418,230.6,46,41.12,-1,-1
419,282.8,1,24.63,-1,-1
420,937.9,101,203.54,3,-1
421,344.7,71,32.26,-1,-1
422,558.2,71,81.78,-1,-1
423,180.2,83,25.02,-1,-1
424,384.9,101,258.63,4,4
425,402.9,101,111.56,3,-1
426,100.9,101,24.39,-1,-1
427,1480.1,71,81.89,-1,-1
428,308.5,30,83.35,-1,-1
429,1552.6,71,81.97,-1,-1
430,905.8,71,79.63,-1,-1
431,628.8,101,141.52,-1,4
432,615.6,1,15.85,-1,-1
433,3052.2,71,79.27,-1,-1
434,7204.1,71,82.63,-1,-1
435,651.6,101,40.92,4,4
436,264.6,101,265.73,4,4
437,11592.1,71,83.3,-1,-1
438,347.4,71,10.5,-1,-1
439,358.8,83,3.31,-1,-1
440,7209.1,71,80.34,-1,-1
441,1388.8,101,211.87,4,2
442,690.4,71,57.59,-1,-1
443,194.0,101,16.03,2,4
444,386.3,71,33.16,-1,-1
445,276.6,1,18.32,-1,-1
446,12760.1,71,83.22,-1,-1
447,994.3,71,74.92,-1,-1
448,442.8,1,40.99,-1,-1
