user_id,age,sex,user_lv_cd
1,3,2,3
2,3,2,3
3,3,0,5
4,3,2,3
5,4,2,2
6,-1,2,2
7,3,2,4
8,2,2,2
9,3,2,3
10,4,0,4
11,3,1,5
12,6,2,3
13,-1,2,2
14,3,2,3
15,-1,2,2
16,-1,0,4
17,4,2,4
18,3,2,2
19,-1,2,4
20,3,2,5
21,3,2,3
22,3,0,4
23,3,0,4
24,6,1,2
25,-1,2,3
26,3,2,3
27,3,0,5
28,-1,0,4
29,4,2,3
30,4,2,2
31,2,2,2
32,4,2,3
33,4,2,3
34,-1,2,3
35,2,2,2
36,3,0,4
37,3,0,4
38,-1,2,2
39,-1,2,3
40,3,2,4
41,3,0,4
42,4,2,2
43,4,2,4
44,3,0,5
45,4,2,5
46,2,2,2
47,3,1,3
48,4,2,2
49,-1,2,2
50,3,2,4
51,3,2,4
52,-1,0,4
53,4,2,3
54,3,0,5
55,4,2,4
56,4,1,3
57,-1,2,2
58,3,2,3
59,3,1,4
60,-1,2,3
61,3,0,3
62,3,2,5
63,4,0,3
64,3,1,4
65,3,2,5
66,3,2,3
67,4,2,2
68,3,0,5
69,3,2,4
70,3,2,3
71,3,2,5
72,4,0,3
73,-1,2,2
74,2,2,3
75,-1,2,3
76,4,2,4
77,2,2,4
78,4,2,3
79,3,2,5
80,3,0,5
81,3,2,3
82,3,2,2
83,3,2,2
84,3,1,3
85,4,2,2
86,3,2,4
87,3,2,3
88,3,2,3
89,3,2,2
90,4,1,2
91,2,2,2
92,2,1,5
93,4,0,5
94,3,2,2
95,-1,1,4
96,3,0,5
97,4,2,2
98,2,2,3
99,4,1,4
100,3,0,4
101,3,0,5
102,3,2,5
103,3,2,2
104,3,0,5
105,3,2,5
106,3,1,4
107,3,2,5
108,3,2,3
109,2,2,4
110,3,2,4
111,3,1,3
112,3,2,5
113,3,2,4
114,3,2,5
115,3,0,5
116,4,2,4
117,4,2,4
118,-1,2,2
119,3,2,3
120,4,2,3
121,-1,2,2
122,3,2,5
123,3,2,2
124,4,2,3
125,-1,0,3
126,-1,2,2
127,-1,2,2
128,-1,2,2
129,3,0,5
130,4,2,4
131,-1,2,2
132,4,0,4
133,3,2,4
134,3,0,2
135,4,0,5
136,4,1,2
137,3,0,5
138,3,1,5
139,3,2,4
140,-1,2,2
141,-1,2,2
142,-1,2,3
143,2,2,4
144,-1,2,3
145,4,1,4
146,4,0,4
147,4,2,3
148,2,2,2
149,3,0,5
150,-1,2,2
151,3,0,3
152,-1,2,5
153,4,2,3
154,3,2,2
155,-1,1,5
156,3,2,5
157,3,2,2
158,3,2,2
159,3,2,2
160,4,2,4
161,4,2,3
162,3,0,4
163,2,2,3
164,4,2,3
165,-1,2,3
166,3,1,4
167,-1,2,1
168,2,2,4
169,6,2,3
170,4,2,4
171,3,2,5
172,4,2,2
173,-1,2,3
174,3,2,2
175,3,0,3
176,3,2,3
177,4,2,2
178,3,0,4
179,3,0,4
180,3,2,4
181,4,0,3
182,-1,2,4
183,4,2,4
184,3,0,5
185,3,2,5
186,3,2,3
187,2,1,3
188,3,2,3
189,4,2,3
190,-1,2,2
191,3,0,2
192,2,2,2
193,4,2,4
194,4,2,3
195,-1,2,3
196,2,2,2
197,3,2,5
198,4,2,4
199,3,2,4
200,3,1,3
201,3,0,3
202,2,2,3
203,3,2,3
204,4,2,2
205,3,0,5
206,-1,2,2
207,3,2,2
208,4,2,5
209,-1,2,3
210,3,2,4
211,-1,2,2
212,3,0,3
213,4,0,5
214,-1,2,2
215,3,2,4
216,3,2,4
217,3,0,3
218,3,0,5
219,-1,2,3
220,3,2,2
221,-1,2,2
222,3,2,4
223,3,2,4
224,3,2,3
225,3,2,2
226,3,0,5
227,4,0,3
228,4,0,5
229,4,2,4
230,-1,0,4
231,3,2,3
232,4,2,3
233,4,0,4
234,3,2,3
235,3,0,5
236,-1,2,3
237,3,2,2
238,4,2,2
239,4,2,3
240,3,2,3
241,3,2,2
242,3,2,4
243,3,0,5
244,3,2,3
245,2,2,2
246,3,2,5
247,3,0,4
248,-1,2,2
249,3,0,5
250,3,0,5
251,3,0,5
252,3,2,3
253,3,1,3
254,3,2,3
255,-1,2,3
256,-1,2,2
257,3,0,5
258,4,2,3
259,-1,2,4
260,3,0,5
261,3,2,4
262,3,0,2
263,3,1,3
264,-1,2,2
265,4,2,2
266,-1,2,2
267,-1,2,2
268,-1,2,2
269,3,2,4
270,4,2,2
271,4,2,4
272,3,2,2
273,-1,2,3
274,3,2,4
275,3,0,5
276,3,2,4
277,4,0,5
278,3,2,4
279,2,2,4
280,-1,2,2
281,3,2,3
282,3,2,2
283,3,0,5
284,-1,2,2
285,2,2,4
286,3,2,3
287,4,0,4
288,3,2,3
289,3,2,5
290,-1,0,5
291,3,0,3
292,3,2,3
293,4,0,5
294,3,1,2
295,3,0,5
296,3,1,3
297,-1,2,2
298,3,1,5
299,3,2,3
300,2,0,5
301,4,2,3
302,-1,2,3
303,4,2,3
304,3,2,3
305,4,2,3
306,4,2,3
307,3,1,4
308,4,1,4
309,3,2,2
310,-1,2,2
311,3,2,4
312,3,2,3
313,-1,2,3
314,3,2,5
315,-1,2,2
316,3,2,2
317,-1,2,2
318,4,2,3
319,2,1,2
320,-1,2,2
321,4,0,5
322,2,2,3
323,-1,2,4
324,-1,2,3
325,4,2,2
326,3,0,5
327,3,1,5
328,4,0,3
329,3,2,4
330,3,0,4
331,3,2,3
332,2,2,3
333,4,2,3
334,3,2,5
335,3,1,3
336,4,0,5
337,4,1,4
338,6,2,3
339,4,0,4
340,3,2,3
341,2,2,3
342,6,2,2
343,3,2,4
344,4,2,3
345,4,0,4
346,-1,2,2
347,2,1,2
348,3,2,3
349,3,0,4
350,3,0,5
351,3,0,4
352,3,2,2
353,3,2,4
354,4,2,5
355,3,0,4
356,3,2,2
357,2,2,3
358,4,2,5
359,4,2,3
360,3,0,5
361,4,0,3
362,3,2,3
363,3,2,4
364,-1,2,2
365,3,0,2
366,3,0,4
367,3,0,4
368,3,0,4
369,4,0,4
370,3,0,5
371,3,2,4
372,-1,0,5
373,3,0,5
374,6,2,3
375,3,2,3
376,-1,0,4
377,3,2,4
378,3,0,5
379,3,2,3
380,4,2,5
381,4,2,3
382,-1,2,2
383,3,2,4
384,-1,2,2
385,4,2,4
386,3,1,4
387,-1,2,2
388,4,2,2
389,-1,2,2
390,3,2,4
391,4,2,2
392,3,0,4
393,4,2,2
394,3,2,3
395,4,2,3
396,-1,2,2
397,-1,2,3
398,4,2,3
399,3,0,5
400,3,2,4
401,3,0,5
402,3,2,4
403,3,1,3
404,3,2,3
405,3,1,3
406,3,0,5
407,4,2,3
408,-1,2,3
409,-1,2,2
410,4,2,5
411,3,1,4
412,5,2,4
413,4,2,3
414,3,1,4
415,4,0,5
416,3,2,2
417,4,0,5
418,2,2,4
419,-1,2,4
420,4,1,3
421,2,2,2
422,-1,2,2
423,3,2,4
424,4,2,2
425,4,1,3
426,3,2,4
427,5,2,2
428,3,2,4
429,3,2,3
430,3,2,3
431,3,0,3
432,2,2,5
433,4,2,3
434,3,2,4
435,4,1,3
436,-1,2,2
437,3,0,4
438,3,2,4
439,-1,2,4
